id,name,categoryName,subCategory,brand,price
9,golden necklace,jewellery,necklace,,45000
3,playstation 5,gaming,console,,75000
5865,macbook air m2,electronics,laptop,apple,100000
6,golden retriever puppy,pets and supplies,puppy,,21000
11,macbook air m1,electronics,laptop,apple,115000
12,mechanical gaming keyboard,accessories,keyboard,fantech,1700
5,iphone 14,electronics,phone,apple,115000
16,colorful betta fish,pets and supplies,fish,,200
27,asus zenbook 14 UX434,electronics,laptop,asus,103000
24,e58 drone with double battery,electronics,drone,,3200
8,harry potter and the order of the phoenix,education,book,,850
21,study table for students,furnishing,table,,3500
17,wooden chess board,board games,chess,,1200
22,gaming chair for gamer folks,furnishing,gaming chair,,12000
20,nutritious dog food,pets and supplies,dog food,,750
23,RC toy helicopter,kids and toys,helicopter,,1500
25,DMI dart board,sports,dart,,1700
19,8L Digital Air Fryer with Viewing Window,home and kitchen,air fryer,,35000
10,premium cricket bat,sports,cricket,,1500
14,sony headphones,electronics,headphone,sony,2500
13,acoustic guitar,music and instruments,guitar,,4500
28,Garden Sprinkler With Ground Plug Pipe Connector 360-Degree Automatic Rotating Spray,home tools,sprinkler,,550
100,necklace,fashion,jewellery,,1000
101,harry potter,education,book,,1200
102,iphone 13,electronics,phone,apple,150000
103,sofa set,furnishing,sofa,,50000
104,chess board,gaming consoles,chess,,500
105,study table,home and kitchen,table,,10000
106,playstation 4,gaming consoles,play station,sony,25000
107,kookaburra cricket bat,gaming consoles,cricket,kookaburra,1100
108,samsung air fryer,home and kitchen,electronics,samsung,10000
109,betta fish half moon,pets and supplies,fish,,500
110,premium dog food,pet and supplies,food,,3000
111,acoustic guitar,music and instruments,guitar,pleasure,5500
112,keyboard,accessories,keyboard,fantech,2100
113,macbook air charger 30w,accessories,charger,apple,200000
114,golden retriever 1 year old,pets and supplies,dog,,20000
115,digital kitchen scale,electronics,scale,,800
116,two in one hair dryer and curler,electronics,dryer,dyson,4500
117,samsung a23 6gb+128gb,electronics,phone,samsung,72000
118,Nokia mobile 108,electronics,phone,nokia,10000
119,"Realme C35 - 6.6"" Inch Display",electronics,phone,realme,52000
120,"MacBook Air (13-inch, Early 2015) 4gb 128gb",electronics,laptop,apple,100000
121,HP ProBook 640 G1 - Core i5 4th Generation,electronics,laptop,hp,50000
122,Lenovo Thinkpad – X230 – Core i5 3rd Gen,electronics,laptop,lenovo,20000
123,Dell Chromebook 11 3189 - 360 TouchScreen,electronics,laptop,dell,15000
124,Professional Hair Dryer 3 in 1,electronics,dryer,,1500
125,rose gold bracelet with diamond,jewellery,bracelet,,150000
126,stylish clavicle pendant necklace,jewellery,necklace,,200
127,Choker Necklace With EarRings,jewellery,necklace set,,500
128,7Pcs Simple Vintage Rings,jewellery,ring,,850
129,100 Language I Love You Love Ring,jewellery,ring,,500
130,Personalized name rings,jewellery,ring,,600
131,Magnetic Couple Bracelet,jewellery,bracelet,,1000
132,Freshwater Pearl Beads Bracelet,jewellery,bracelet,,300
133,gold necklace with emerald diamond,jewellery,necklace,,200000
134,Golden Colour Heart Shaped Necklace,jewellery,necklace,,100000
135,rosted almond milk chocolate,food,chocolate,ferrero,500
136,polka dotted red dress,fashion,dress,baleno,3000
